9.907,-0.594,2.037,-0.3461,0.1098,-0.1617,29.18
10.432,-0.709,2.418,-0.2691,-0.0368,-0.1679,29.20
10.647,-0.646,2.492,-0.2553,-0.1535,-0.1423,29.19
10.551,-0.560,2.502,-0.2097,-0.2201,-0.1266,29.18
10.484,-0.548,2.354,-0.1924,-0.2054,-0.1412,29.18
10.113,-0.431,2.394,-0.1148,-0.1833,-0.1652,29.20
9.682,-0.302,2.389,-0.1391,-0.1327,-0.1607,29.19
9.479,-0.294,2.433,-0.1412,-0.0711,-0.1540,29.17
9.316,-0.268,2.428,-0.1242,-0.0232,-0.1601,29.18
9.189,-0.294,2.380,-0.1039,0.0131,-0.1676,29.19
9.041,-0.223,2.318,-0.0370,0.0309,-0.1956,29.19
8.926,-0.213,2.421,0.0608,0.0290,-0.2001,29.18
8.959,0.086,2.528,0.1812,-0.0211,-0.1812,29.17
8.729,-0.220,2.691,0.1652,-0.0077,-0.1612,29.20
8.780,-0.187,2.784,0.2102,-0.0850,-0.1116,29.20
8.957,-0.290,2.739,0.1745,-0.1210,-0.0821,29.19
9.436,-0.208,2.772,0.2052,-0.1647,-0.0549,29.20
9.740,-0.060,2.890,0.2473,-0.1729,-0.0549,29.20
9.668,-0.153,2.978,0.2510,-0.1535,-0.0621,29.19
9.483,-0.187,3.007,0.1998,-0.1431,-0.0693,29.19
9.438,-0.127,2.993,0.1359,-0.1482,-0.0634,29.19
9.574,-0.108,3.029,0.1108,-0.1402,-0.0719,29.21
9.790,0.309,2.816,0.1130,-0.1116,-0.0088,29.21
9.780,0.464,2.926,0.2451,-0.0813,0.0333,29.19
9.720,0.318,3.062,0.2979,-0.0442,0.0552,29.20
9.486,0.038,3.136,0.3102,-0.0274,0.0871,29.19
9.457,-0.204,3.074,0.2939,-0.0389,0.1242,29.19
9.649,-0.278,3.014,0.2774,-0.0754,0.1607,29.21
9.713,-0.199,3.091,0.2777,-0.0879,0.1777,29.20
9.814,-0.165,3.215,0.2750,-0.0546,0.1863,29.21
10.068,-0.148,3.285,0.2769,-0.0261,0.2052,29.20
10.305,-0.385,3.381,0.2555,-0.0240,0.2329,29.21
10.872,-0.460,3.263,0.2017,-0.0522,0.2489,29.22
11.722,-0.464,3.144,0.1604,-0.1484,0.2902,29.21
11.916,-0.654,3.290,0.1122,-0.2110,0.3219,29.22
11.365,-0.512,2.763,-0.0719,-0.0898,0.3461,29.23
10.798,-0.208,2.033,-0.1391,0.0770,0.3200,29.21
10.645,-0.146,2.157,0.0016,0.2321,0.2638,29.21
10.398,-0.328,2.270,0.0882,0.3403,0.2502,29.20
9.742,-0.469,2.045,0.1474,0.3856,0.2393,29.21
9.474,-0.821,1.760,0.2286,0.3557,0.2089,29.21
9.309,-1.149,1.350,0.3059,0.3155,0.1266,29.19
9.203,-1.255,1.120,0.3533,0.2545,0.0322,29.19
9.151,-1.209,1.152,0.3893,0.1593,-0.0152,29.19
9.335,-1.149,1.379,0.3882,0.0533,-0.0277,29.19
9.644,-1.144,1.662,0.3656,-0.0733,0.0157,29.19
10.269,-1.202,1.844,0.3416,-0.2089,0.0687,29.20
10.894,-1.188,1.899,0.3094,-0.3307,0.1156,29.20
10.860,-1.128,1.997,0.2060,-0.3304,0.1314,29.20
10.305,-0.979,1.963,0.0783,-0.2292,0.0999,29.20
9.864,-0.563,1.860,-0.0059,-0.0909,0.0541,29.19
9.404,-0.469,1.832,-0.0051,0.0131,0.0541,29.22
9.170,-0.742,2.004,-0.0035,0.0797,0.0685,29.21
8.885,-0.962,1.908,-0.0272,0.0741,0.0520,29.21
8.763,-1.113,2.210,0.0144,0.0163,0.0224,29.19
8.918,-1.044,2.229,0.0386,-0.0269,-0.0290,29.20
9.091,-0.982,2.241,0.0616,-0.0405,-0.0568,29.20
9.270,-1.037,2.313,0.0650,-0.0951,-0.0677,29.20
9.673,-1.058,2.435,0.0109,-0.1079,-0.0861,29.20
9.905,-0.960,2.363,-0.0645,-0.1077,-0.0741,29.20
9.883,-1.164,2.476,-0.1037,-0.0946,-0.0719,29.21
9.754,-1.243,2.344,-0.2084,-0.0312,-0.0783,29.19
9.546,-1.161,2.243,-0.2859,0.0570,-0.1082,29.20
9.254,-1.034,2.320,-0.2974,0.1037,-0.1402,29.20
9.093,-0.960,2.423,-0.2803,0.1188,-0.1652,29.21
9.199,-0.941,2.557,-0.2326,0.1029,-0.1913,29.20
9.538,-1.034,2.648,-0.1761,0.0879,-0.1969,29.20
9.926,-1.132,2.756,-0.1444,0.0546,-0.1879,29.22
10.199,-1.128,2.866,-0.1783,0.0594,-0.1911,29.21
10.271,-1.068,2.983,-0.2577,0.0983,-0.2134,29.21
10.312,-0.991,3.182,-0.3451,0.1386,-0.2393,29.20
10.274,-0.850,3.306,-0.4303,0.1783,-0.2281,29.21
10.190,-0.831,3.297,-0.4604,0.2118,-0.2076,29.19
10.264,-0.792,3.318,-0.4226,0.2238,-0.2004,29.19
10.458,-0.888,3.342,-0.3360,0.2020,-0.2092,29.20
10.891,-0.948,3.412,-0.2526,0.1500,-0.2017,29.21
11.301,-0.939,3.321,-0.2609,0.0970,-0.1519,29.19
11.270,-0.943,3.191,-0.2438,0.0413,-0.0749,29.18
11.116,-0.713,2.832,-0.3120,0.0426,-0.0181,29.19
10.827,-0.560,2.547,-0.4114,0.0378,0.0123,29.20
