-78.45,-1.99,78.45,110.97,FREEFALL
20.88,-24.19,-4.81,32.32,IMPACT
-11.65,19.49,20.57,30.63,IMPACT
-5.82,2.66,10.78,12.54,IMPACT
-5.75,6.72,7.50,11.60,IMPACT
-0.91,1.84,0.44,2.10,IMPACT
0.24,-0.48,-1.35,1.45,IMPACT
-8.55,-10.48,13.16,18.87,IMPACT
0.04,1.26,13.73,13.79,IMPACT
-2.72,6.87,10.57,12.89,IMPACT
-1.43,-0.35,11.06,11.16,IMPACT
-4.05,4.29,8.92,10.69,IMPACT
-1.78,1.77,10.13,10.43,IMPACT
-2.10,1.63,9.46,9.83,IMPACT
-2.10,1.25,9.45,9.76,IMPACT
-2.00,1.47,9.67,9.98,IMPACT
-2.04,1.55,9.62,9.95,IMPACT
-2.07,1.60,9.51,9.86,IMPACT
-2.27,1.66,9.58,9.99,IMPACT
-1.99,1.53,9.55,9.87,IMPACT
-1.85,1.53,9.63,9.92,IMPACT
-1.74,1.49,9.64,9.91,IMPACT
-1.77,1.53,9.62,9.90,IMPACT
-1.91,1.52,9.62,9.93,IMPACT
-1.95,1.46,9.55,9.86,IMPACT
-1.78,1.65,9.62,9.92,IMPACT
-1.98,1.41,9.67,9.98,IMPACT
-2.35,1.34,9.49,9.87,IMPACT
-2.21,1.72,9.44,9.85,IMPACT
-2.20,1.70,9.69,10.08,IMPACT
-1.94,1.38,9.60,9.89,IMPACT
-2.18,1.48,9.54,9.90,IMPACT
-2.46,1.42,9.47,9.89,IMPACT
-2.26,1.65,9.46,9.87,IMPACT
-2.32,1.47,9.57,9.95,IMPACT
-2.57,1.22,9.56,9.97,IMPACT
-2.60,1.50,9.53,10.00,IMPACT
-2.41,1.14,9.30,9.68,IMPACT
-1.84,1.35,9.73,9.99,IMPACT
-2.51,1.60,9.62,10.07,IMPACT
-2.86,1.27,8.80,9.34,IMPACT
-2.87,1.48,9.39,9.93,IMPACT
-1.99,1.67,9.33,9.68,IMPACT
-2.52,1.19,9.49,9.89,IMPACT
-2.48,0.13,9.74,10.05,IMPACT
-2.31,0.87,9.39,9.71,IMPACT
-2.44,0.99,9.67,10.02,IMPACT
-2.67,0.86,9.46,9.87,IMPACT
-2.68,0.85,9.52,9.93,IMPACT
-2.38,0.57,9.74,10.05,IMPACT
-2.11,1.29,9.65,9.96,IMPACT
-2.25,1.59,9.62,10.01,IMPACT
-2.43,1.47,9.62,10.03,IMPACT
-2.21,1.30,9.54,9.87,IMPACT
-2.25,1.33,9.77,10.11,IMPACT
-2.14,1.21,9.67,9.97,IMPACT
-2.26,1.79,10.08,10.48,IMPACT
-2.02,1.88,9.62,10.00,IMPACT
-2.03,1.67,9.07,9.44,IMPACT
-2.05,1.75,9.42,9.80,IMPACT
-2.17,1.47,9.62,9.98,IMPACT
-1.97,1.85,9.64,10.01,IMPACT
-1.58,1.77,9.65,9.94,IMPACT
-2.26,1.97,9.49,9.95,IMPACT
-2.48,1.65,9.98,10.42,IMPACT
-2.78,3.36,9.47,10.43,IMPACT
-4.18,4.40,8.85,10.73,IMPACT
-7.16,6.94,7.32,12.37,IMPACT
-11.25,8.04,9.89,17.00,IMPACT
-10.25,8.35,11.88,17.77,IMPACT
-8.88,3.80,13.33,16.46,IMPACT
-9.37,0.40,13.00,16.03,IMPACT
-9.07,-1.66,12.23,15.32,IMPACT
-8.13,-3.38,10.35,13.59,IMPACT
-8.50,-1.17,10.19,13.32,IMPACT
-7.45,1.64,10.06,12.62,IMPACT
-7.47,4.53,9.40,12.83,IMPACT
-6.04,5.35,8.11,11.44,IMPACT
-4.97,5.70,7.12,10.39,IMPACT
-4.40,5.49,6.13,9.33,IMPACT
-4.09,4.98,5.37,8.39,IMPACT
-3.84,4.40,4.88,7.61,IMPACT
-4.98,3.79,5.76,8.51,IMPACT
-6.00,2.81,6.67,9.40,IMPACT
-5.88,0.85,6.53,8.83,IMPACT
-6.13,-0.22,6.43,8.88,IMPACT
-7.55,-0.76,6.74,10.15,IMPACT
-6.42,-1.34,6.34,9.12,IMPACT
-6.56,-0.40,5.98,8.89,IMPACT
-6.53,0.85,5.86,8.82,IMPACT
-6.93,2.47,5.63,9.26,IMPACT
-7.63,3.51,5.52,10.05,IMPACT
-7.42,3.73,5.13,9.77,IMPACT
-5.28,2.21,3.62,6.78,IMPACT
-2.79,1.14,2.30,3.80,IMPACT
-3.47,1.55,3.98,5.50,IMPACT
-4.99,2.93,6.16,8.45,IMPACT
-5.45,3.05,7.67,9.89,IMPACT
-6.61,2.83,8.60,11.21,IMPACT
-5.89,1.11,8.46,10.37,IMPACT
-5.11,-0.98,7.15,8.84,IMPACT
-5.34,-0.61,6.37,8.34,IMPACT
-6.15,-0.30,5.56,8.30,IMPACT
-6.64,0.75,5.09,8.40,IMPACT
-6.71,1.47,5.00,8.50,IMPACT
-5.88,1.85,5.18,8.05,IMPACT
-5.17,1.93,5.67,7.91,IMPACT
-4.80,2.26,6.53,8.42,IMPACT
-5.76,3.34,8.35,10.68,IMPACT
-6.70,3.90,10.29,12.89,IMPACT
-8.04,3.37,10.42,13.59,IMPACT
-7.53,1.25,8.23,11.23,IMPACT
-7.90,1.11,8.11,11.38,IMPACT
